timestamp,symbol,side,price,size,tickDirection
2018-07-01 00:00:02.490104,XBTUSD,Sell,6383.5,3000,0-
2018-07-01 00:00:03.233707,XBTUSD,Sell,6383.5,15000,0-
2018-07-01 00:00:03.358225,XBTUSD,Sell,6383.5,37,0-
2018-07-01 00:00:03.474112,XBTUSD,Sell,6383.5,200,0-
2018-07-01 00:00:03.963948,XBTUSD,Buy,6384.0,1,++
2018-07-01 00:00:04.418778,XBTUSD,Sell,6383.5,37,--
2018-07-01 00:00:05.038344,XBTUSD,Buy,6384.0,484,++
2018-07-01 00:00:06.373475,XBTUSD,Sell,6383.5,15,--
2018-07-01 00:00:06.445292,XBTUSD,Buy,6384.0,2650,++
2018-07-01 00:00:06.535434,XBTUSD,Buy,6384.0,164,0+
2018-07-01 00:00:06.641278,XBTUSD,Buy,6384.0,6384,0+
2018-07-01 00:00:06.874864,XBTUSD,Buy,6384.0,1130,0+
2018-07-01 00:00:08.187379,XBTUSD,Buy,6384.0,79,0+
2018-07-01 00:00:09.342087,XBTUSD,Sell,6383.5,1500,--
2018-07-01 00:00:10.959616,XBTUSD,Sell,6383.5,4000,0-
2018-07-01 00:00:11.362190,XBTUSD,Buy,6384.0,6336,++
2018-07-01 00:00:11.765061,XBTUSD,Sell,6383.5,5000,--
2018-07-01 00:00:12.209353,XBTUSD,Sell,6383.5,9575,0-
2018-07-01 00:00:12.291956,XBTUSD,Sell,6383.5,9575,0-
2018-07-01 00:00:12.417564,XBTUSD,Sell,6383.5,9575,0-
2018-07-01 00:00:12.802144,XBTUSD,Sell,6383.5,19150,0-
2018-07-01 00:00:13.969392,XBTUSD,Buy,6384.0,2640,++
2018-07-01 00:00:14.860257,XBTUSD,Buy,6384.0,2087,0+
2018-07-01 00:00:14.967534,XBTUSD,Buy,6384.0,18,0+
2018-07-01 00:00:15.008013,XBTUSD,Buy,6384.0,940,0+
2018-07-01 00:00:16.491430,XBTUSD,Buy,6384.0,53,0+
2018-07-01 00:00:17.196688,XBTUSD,Buy,6384.0,50,0+
2018-07-01 00:00:17.387854,XBTUSD,Sell,6383.5,200,--
2018-07-01 00:00:18.010181,XBTUSD,Sell,6383.5,400,0-
2018-07-01 00:00:19.339432,XBTUSD,Buy,6384.0,18,++
2018-07-01 00:00:19.813473,XBTUSD,Sell,6383.5,32673,--
2018-07-01 00:00:19.996793,XBTUSD,Sell,6383.5,40000,0-
2018-07-01 00:00:23.740508,XBTUSD,Buy,6384.0,9,++
2018-07-01 00:00:24.786237,XBTUSD,Sell,6383.5,15000,--
2018-07-01 00:00:24.967887,XBTUSD,Sell,6383.5,40000,0-
2018-07-01 00:00:25.322835,XBTUSD,Sell,6383.5,10,0-
2018-07-01 00:00:25.909324,XBTUSD,Buy,6384.0,2,++
2018-07-01 00:00:26.161022,XBTUSD,Sell,6383.5,565,--
2018-07-01 00:00:26.433946,XBTUSD,Sell,6383.5,500,0-
2018-07-01 00:00:26.487426,XBTUSD,Buy,6384.0,2000,++
2018-07-01 00:00:27.574213,XBTUSD,Buy,6384.0,13,0+
2018-07-01 00:00:28.348713,XBTUSD,Sell,6383.5,600,--
2018-07-01 00:00:28.657513,XBTUSD,Buy,6384.0,40,++
2018-07-01 00:00:28.846697,XBTUSD,Sell,6383.5,10,--
2018-07-01 00:00:29.942624,XBTUSD,Buy,6384.0,100,++
2018-07-01 00:00:31.369977,XBTUSD,Buy,6384.0,35000,0+
2018-07-01 00:00:31.405959,XBTUSD,Buy,6384.0,1800,0+
2018-07-01 00:00:31.429122,XBTUSD,Sell,6383.5,200,--
2018-07-01 00:00:31.643482,XBTUSD,Sell,6383.5,636,0-
2018-07-01 00:00:31.773155,XBTUSD,Buy,6384.0,100,++
2018-07-01 00:00:33.290498,XBTUSD,Sell,6383.5,10,--
2018-07-01 00:00:33.995372,XBTUSD,Buy,6384.0,40,++
2018-07-01 00:00:34.542357,XBTUSD,Buy,6384.0,10,0+
2018-07-01 00:00:34.734794,XBTUSD,Buy,6384.0,100,0+
2018-07-01 00:00:36.082372,XBTUSD,Buy,6384.0,10000,0+
2018-07-01 00:00:36.627102,XBTUSD,Buy,6384.0,100,0+
2018-07-01 00:00:37.045395,XBTUSD,Sell,6383.5,100000,--
2018-07-01 00:00:37.216363,XBTUSD,Buy,6384.0,100,++
2018-07-01 00:00:39.607279,XBTUSD,Buy,6384.0,100,0+
2018-07-01 00:00:39.683920,XBTUSD,Sell,6383.5,77000,--
2018-07-01 00:00:39.889763,XBTUSD,Buy,6384.0,50000,++
2018-07-01 00:00:41.021682,XBTUSD,Sell,6383.5,10000,--
2018-07-01 00:00:41.170629,XBTUSD,Sell,6383.5,10,0-
2018-07-01 00:00:42.549655,XBTUSD,Buy,6384.0,100,++
2018-07-01 00:00:44.669009,XBTUSD,Buy,6384.0,805712,0+
2018-07-01 00:00:48.425202,XBTUSD,Sell,6384.0,15400,0+
2018-07-01 00:00:48.826972,XBTUSD,Sell,6384.0,1332,0+
2018-07-01 00:00:48.981604,XBTUSD,Buy,6384.5,100,++
2018-07-01 00:00:49.167516,XBTUSD,Buy,6384.5,3333,0+
2018-07-01 00:00:49.270483,XBTUSD,Sell,6384.0,500,--
2018-07-01 00:00:49.322171,XBTUSD,Buy,6384.5,45000,++
2018-07-01 00:00:49.383286,XBTUSD,Buy,6384.5,70000,0+
2018-07-01 00:00:49.474364,XBTUSD,Buy,6384.5,5000,0+
2018-07-01 00:00:49.673356,XBTUSD,Buy,6384.5,10,0+
2018-07-01 00:00:49.740204,XBTUSD,Buy,6384.5,5000,0+
2018-07-01 00:00:49.894281,XBTUSD,Sell,6384.0,19152,--
2018-07-01 00:00:49.908754,XBTUSD,Buy,6384.5,2000,++
2018-07-01 00:00:49.970747,XBTUSD,Buy,6384.5,6100,0+
2018-07-01 00:00:50.011795,XBTUSD,Sell,6384.0,19152,--
2018-07-01 00:00:50.177467,XBTUSD,Sell,6384.0,19152,0-
2018-07-01 00:00:50.481757,XBTUSD,Buy,6384.5,27090,++
2018-07-01 00:00:50.996933,XBTUSD,Buy,6385.0,21430,++
2018-07-01 00:00:50.996933,XBTUSD,Buy,6385.5,961,++
2018-07-01 00:00:50.996933,XBTUSD,Buy,6386.0,3110,++
2018-07-01 00:00:50.996933,XBTUSD,Buy,6386.5,24499,++
2018-07-01 00:00:51.071469,XBTUSD,Buy,6385.0,93,--
2018-07-01 00:00:51.071469,XBTUSD,Buy,6386.5,6907,++
2018-07-01 00:00:51.118248,XBTUSD,Buy,6386.5,3564,0+
2018-07-01 00:00:51.118248,XBTUSD,Buy,6387.0,7306,++
2018-07-01 00:00:51.118248,XBTUSD,Buy,6387.5,10140,++
2018-07-01 00:00:51.578709,XBTUSD,Sell,6387.0,10,--
2018-07-01 00:00:52.059795,XBTUSD,Buy,6387.5,77,++
2018-07-01 00:00:52.059795,XBTUSD,Buy,6388.0,423,++
2018-07-01 00:00:52.341835,XBTUSD,Buy,6388.0,3844,0+
2018-07-01 00:00:52.341835,XBTUSD,Buy,6388.5,6156,++
2018-07-01 00:00:53.975228,XBTUSD,Buy,6388.0,22266,--
2018-07-01 00:00:53.975228,XBTUSD,Buy,6388.5,77734,++
2018-07-01 00:00:54.011826,XBTUSD,Buy,6388.5,690,0+
2018-07-01 00:00:54.138850,XBTUSD,Buy,6388.5,1064,0+
2018-07-01 00:00:54.275015,XBTUSD,Buy,6388.5,20644,0+
2018-07-01 00:00:54.275015,XBTUSD,Buy,6389.0,29356,++
2018-07-01 00:00:54.765603,XBTUSD,Sell,6388.0,4280,--
2018-07-01 00:00:54.765603,XBTUSD,Sell,6388.5,720,--
2018-07-01 00:00:54.915663,XBTUSD,Buy,6388.5,2000,++
2018-07-01 00:00:56.520656,XBTUSD,Sell,6388.0,250,--
2018-07-01 00:00:56.770079,XBTUSD,Sell,6388.0,276,0-
2018-07-01 00:00:57.124091,XBTUSD,Buy,6388.5,22000,++
2018-07-01 00:00:57.220065,XBTUSD,Buy,6388.5,8000,0+
2018-07-01 00:00:57.237578,XBTUSD,Buy,6388.5,73721,0+
2018-07-01 00:00:57.237578,XBTUSD,Buy,6389.0,46279,++
2018-07-01 00:00:57.280338,XBTUSD,Sell,6388.5,25000,--
2018-07-01 00:00:57.534283,XBTUSD,Buy,6389.0,4800,++
2018-07-01 00:00:58.569698,XBTUSD,Buy,6389.0,200,0+
2018-07-01 00:00:59.609836,XBTUSD,Sell,6388.5,17000,--
2018-07-01 00:01:02.118770,XBTUSD,Buy,6389.0,2500,++
2018-07-01 00:01:02.151480,XBTUSD,Buy,6389.0,25000,0+
2018-07-01 00:01:02.177509,XBTUSD,Buy,6389.0,500,0+
2018-07-01 00:01:02.350555,XBTUSD,Sell,6388.5,300,--
2018-07-01 00:01:03.398900,XBTUSD,Sell,6388.5,10000,0-
2018-07-01 00:01:03.622708,XBTUSD,Buy,6389.0,10000,++
2018-07-01 00:01:03.658479,XBTUSD,Sell,6388.5,10,--
2018-07-01 00:01:03.964789,XBTUSD,Sell,6388.5,100,0-
2018-07-01 00:01:04.204983,XBTUSD,Buy,6389.0,94,++
2018-07-01 00:01:05.659074,XBTUSD,Buy,6389.0,314,0+
2018-07-01 00:01:05.762753,XBTUSD,Buy,6389.0,400,0+
2018-07-01 00:01:06.415630,XBTUSD,Buy,6389.0,12910,0+
2018-07-01 00:01:06.505723,XBTUSD,Buy,6389.0,1000,0+
2018-07-01 00:01:06.648309,XBTUSD,Buy,6389.0,73501,0+
2018-07-01 00:01:06.731205,XBTUSD,Sell,6389.0,10,0+
2018-07-01 00:01:08.572708,XBTUSD,Buy,6389.5,9113,++
2018-07-01 00:01:08.648401,XBTUSD,Buy,6389.5,14699,0+
2018-07-01 00:01:08.648401,XBTUSD,Buy,6390.0,15301,++
2018-07-01 00:01:08.710345,XBTUSD,Sell,6389.5,5000,--
2018-07-01 00:01:09.236890,XBTUSD,Buy,6390.0,25000,++
2018-07-01 00:01:09.644812,XBTUSD,Buy,6390.0,60000,0+
2018-07-01 00:01:09.871454,XBTUSD,Buy,6390.0,100,0+
2018-07-01 00:01:09.995686,XBTUSD,Sell,6389.5,150000,--
2018-07-01 00:01:10.311743,XBTUSD,Buy,6390.0,50,++
2018-07-01 00:01:11.458326,XBTUSD,Buy,6390.0,500,0+
2018-07-01 00:01:11.535403,XBTUSD,Buy,6390.0,50000,0+
2018-07-01 00:01:12.025709,XBTUSD,Sell,6389.5,10,--
2018-07-01 00:01:12.217513,XBTUSD,Buy,6390.0,25000,++
2018-07-01 00:01:12.400132,XBTUSD,Buy,6390.0,3000,0+
2018-07-01 00:01:13.662007,XBTUSD,Sell,6389.5,276,--
2018-07-01 00:01:15.955452,XBTUSD,Sell,6389.5,10,0-
2018-07-01 00:01:20.977268,XBTUSD,Buy,6390.0,2000,++
2018-07-01 00:01:21.113209,XBTUSD,Buy,6390.0,17500,0+
2018-07-01 00:01:21.944423,XBTUSD,Sell,6389.5,19,--
2018-07-01 00:01:22.278810,XBTUSD,Buy,6390.0,98102,++
2018-07-01 00:01:23.095119,XBTUSD,Buy,6390.5,500,++
2018-07-01 00:01:23.118567,XBTUSD,Buy,6390.5,44,0+
2018-07-01 00:01:25.443104,XBTUSD,Buy,6390.5,2500,0+
2018-07-01 00:01:25.580675,XBTUSD,Sell,6390.0,10,--
2018-07-01 00:01:26.109862,XBTUSD,Buy,6390.5,1000,++
2018-07-01 00:01:27.319575,XBTUSD,Buy,6390.5,7321,0+
2018-07-01 00:01:27.319575,XBTUSD,Buy,6391.0,37295,++
2018-07-01 00:01:27.771168,XBTUSD,Buy,6391.0,7900,0+
2018-07-01 00:01:28.020308,XBTUSD,Sell,6390.5,5000,--
2018-07-01 00:01:28.426530,XBTUSD,Buy,6391.0,500,++
