time,low,high,open,close,volume
2017-03-28T20:00:00,51.4,53.25,51.42,52.25,65540.433841
2017-03-29T02:00:00,51,53.5,52.25,51.42,44549.8167223
2017-03-29T08:00:00,51.2,52.75,51.41,52.6,41942.7138097
2017-03-29T14:00:00,52.23,53.97,52.58,53.1,66934.8094885
2017-03-29T20:00:00,52.41,53.34,53.11,52.68,43007.0187839
2017-03-30T02:00:00,51.52,52.9,52.68,52.9,24652.9734056
2017-03-30T08:00:00,52,52.97,52.83,52.35,32795.8036536
2017-03-30T14:00:00,51.77,52.5,52.38,51.88,33493.3050541
2017-03-30T20:00:00,49.29,52.41,51.87,50.9,62770.8434292
2017-03-31T02:00:00,49.75,51.28,50.9,50.77,19612.0156242
2017-03-31T08:00:00,46.98,50.85,50.84,48.89,111389.777992
2017-03-31T14:00:00,48.08,50.5,48.89,50.18,54408.9769379
2017-03-31T20:00:00,49.67,50.38,50.17,50.19,13140.815755
2017-04-01T02:00:00,48.85,50.41,50.17,49.86,19203.3427789
2017-04-01T08:00:00,49.12,51.5,49.91,50.92,33859.5020147
2017-04-01T14:00:00,50.32,51.85,50.95,50.71,24296.6578329
2017-04-01T20:00:00,50.1,51.18,50.72,50.7,17315.5239108
2017-04-02T02:00:00,49.9,51.19,50.7,50.34,18040.1441575
2017-04-02T08:00:00,48.4,50.98,50.28,48.5,43839.8426385
2017-04-02T14:00:00,48.14,51.01,48.5,48.74,71049.0252265
2017-04-02T20:00:00,44.02,48.97,48.74,45.1,150537.914228
2017-04-03T02:00:00,44.63,46.8,45.21,46.8,31180.5526243
2017-04-03T08:00:00,45.51,47.86,46.8,46.41,41155.2942371
2017-04-03T14:00:00,42.39,46.6,46.49,44.25,101445.299194
2017-04-03T20:00:00,42.16,44.88,44.33,43.89,74493.7122942
2017-04-04T02:00:00,41.45,44.06,43.89,42.7,51762.9579532
2017-04-04T08:00:00,42.71,46.25,42.84,45.13,58208.2231954
2017-04-04T14:00:00,43.57,45.36,45.05,44.47,34004.1280296
2017-04-04T20:00:00,44.2,46.99,44.45,46.39,45661.5809416
2017-04-05T02:00:00,45.4,47.63,46.39,47,29034.9301681
2017-04-05T08:00:00,45.61,47.23,47.1,46.37,37786.3337291
2017-04-05T14:00:00,44.78,46.49,46.31,44.78,40678.9917641
2017-04-05T20:00:00,43.87,45.4,44.97,44.21,30850.5965808
2017-04-06T02:00:00,44.04,45.97,44.44,45.15,14992.8066576
2017-04-06T08:00:00,43.92,45.7,45,44,29426.0398277
2017-04-06T14:00:00,41.1,44,44,43.3,97037.1486669
2017-04-06T20:00:00,42.8,44.64,43.31,43.78,24913.2477008
2017-04-07T02:00:00,42.71,44.23,43.77,43.3,11044.4077683
2017-04-07T08:00:00,41.8,44.05,43.39,42.18,39124.6733597
2017-04-07T14:00:00,41.57,42.66,42.24,42.32,31373.7776603
2017-04-07T20:00:00,42.31,45.5,42.32,43.8,42155.5354441
2017-04-08T02:00:00,43.63,44.96,43.79,44.6,7304.65636953
2017-04-08T08:00:00,44.23,45.49,44.63,45.39,18240.5434213
2017-04-08T14:00:00,44.45,45.44,45.38,44.45,11090.1931796
2017-04-08T20:00:00,43.6,44.51,44.5,43.85,16220.924961
2017-04-09T02:00:00,43.51,44.74,43.84,43.62,7231.44788411
2017-04-09T08:00:00,42.72,44.19,43.63,43.95,20550.3275135
2017-04-09T14:00:00,43.29,44.04,44.01,43.92,12531.7799392
2017-04-09T20:00:00,43.43,44.2,43.92,43.83,15424.3051465
2017-04-10T02:00:00,43.25,43.94,43.83,43.57,8477.94386014
2017-04-10T08:00:00,42.72,43.76,43.57,43.24,21020.1831877
2017-04-10T14:00:00,43.08,44.65,43.24,43.92,23405.3683847
2017-04-10T20:00:00,43.75,44.5,43.92,44.41,12378.1062271
2017-04-11T02:00:00,43.63,44.45,44.41,43.74,8526.04626559
2017-04-11T08:00:00,43.55,44.32,43.72,44.13,18587.1397902
2017-04-11T14:00:00,43.7,44.3,44.09,43.83,15790.3609512
2017-04-11T20:00:00,43.8,44.05,43.84,43.87,11773.0629221
2017-04-12T02:00:00,43.58,44.25,43.93,43.94,16116.3641602
2017-04-12T08:00:00,43.68,44.2,43.94,44.2,17674.5544568
2017-04-12T14:00:00,44.02,47.88,44.2,46.48,78904.4916851
2017-04-12T20:00:00,46.22,48.74,46.48,48.26,37667.1978952
2017-04-13T02:00:00,47.51,48.77,48.25,48.35,20146.5752494
2017-04-13T08:00:00,48.06,51.11,48.34,50,71014.4722077
2017-04-13T14:00:00,48.22,50.35,49.95,49.77,46359.0565782
2017-04-13T20:00:00,48,50,49.86,48.32,23657.8455232
2017-04-14T02:00:00,48.01,49.05,48.31,48.3,14571.6088887
2017-04-14T08:00:00,46.52,48.56,48.32,47.03,28859.6921863
2017-04-14T14:00:00,46.76,47.4,47.14,47.2,18020.6285652
2017-04-14T20:00:00,46.78,47.5,47.19,47.28,10049.2246761
2017-04-15T02:00:00,47.24,48.1,47.27,47.72,5240.2066932
2017-04-15T08:00:00,46.82,48.48,47.72,48.48,18246.6546525
2017-04-15T14:00:00,47.2,74.98,48.48,48.94,10156.9598365
2017-04-15T20:00:00,48.22,49.25,48.93,49.07,11944.1936685
2017-04-16T02:00:00,47.5,49.13,49.07,47.83,6302.83185131
2017-04-16T08:00:00,47.67,48.77,47.84,48.11,11239.1735201
2017-04-16T14:00:00,47.65,48.3,48.19,48.13,12898.3319686
2017-04-16T20:00:00,47.75,48.29,48.19,47.92,9356.47515774
2017-04-17T02:00:00,47.66,48.01,47.91,48,8508.54598541
2017-04-17T08:00:00,47.61,48.28,47.99,48.03,16922.2005356
2017-04-17T14:00:00,47.5,48.17,48.03,47.94,19439.6802171
2017-04-17T20:00:00,47.7,48.44,47.94,47.75,18035.1349977
2017-04-18T02:00:00,47.72,48.77,47.79,48.66,13008.0479796
2017-04-18T08:00:00,48.56,49.93,48.6,49.4,31813.8886471
2017-04-18T14:00:00,49.25,49.88,49.4,49.79,18536.7463562
2017-04-18T20:00:00,49.47,49.89,49.85,49.54,17688.2310249
2017-04-19T02:00:00,49.37,49.97,49.55,49.97,7811.39158189
2017-04-19T08:00:00,49.8,50.32,49.93,50.07,34804.0380881
2017-04-19T14:00:00,47.25,50.08,50.05,47.78,43568.5478857
2017-04-19T20:00:00,47.6,49.07,47.71,48.77,29326.8237973
2017-04-20T02:00:00,48.42,49.08,48.74,48.65,9824.19672996
2017-04-20T08:00:00,47.75,48.87,48.69,48.68,33473.1858094
2017-04-20T14:00:00,48.45,49.5,48.7,49.38,21055.5555586
2017-04-20T20:00:00,48.9,49.48,49.39,49.3,18704.7907162
2017-04-21T02:00:00,48.71,49.49,49.29,48.71,12583.736212
2017-04-21T08:00:00,48.61,49.3,48.71,48.94,21377.3100056
2017-04-21T14:00:00,48.24,49.16,48.93,48.37,23840.638721
2017-04-21T20:00:00,48.22,48.79,48.38,48.66,14147.522677
2017-04-22T02:00:00,48.5,48.83,48.66,48.83,6250.14482571
2017-04-22T08:00:00,48.4,49.08,48.83,48.51,23418.3582149
2017-04-22T14:00:00,48.49,48.9,48.51,48.61,15825.5845061
2017-04-22T20:00:00,48.25,48.87,48.58,48.38,20456.6619281
2017-04-23T02:00:00,48.33,48.84,48.38,48.42,6525.03669548
2017-04-23T08:00:00,48.35,48.86,48.42,48.81,13515.2536759
2017-04-23T14:00:00,48.73,49,48.78,48.96,12993.214087
2017-04-23T20:00:00,48.94,49.95,48.95,49.86,24422.2707155
2017-04-24T02:00:00,49.84,50.44,49.86,50.18,16578.8481671
2017-04-24T08:00:00,50.02,50.44,50.17,50.25,25628.4609067
2017-04-24T14:00:00,49.72,50.32,50.25,50.12,20912.2797203
2017-04-24T20:00:00,50,50.23,50.11,50.13,13336.8802525
2017-04-25T02:00:00,50.12,50.52,50.15,50.32,11328.073293
2017-04-25T08:00:00,50.29,50.75,50.33,50.53,26177.4989107
2017-04-25T14:00:00,50.12,50.6,50.49,50.31,25776.3878142
2017-04-25T20:00:00,50.25,50.71,50.28,50.57,21618.2910732
2017-04-26T02:00:00,50.49,52.4,50.57,52.1,31796.7098225
2017-04-26T08:00:00,52,53.84,52.09,53.63,68305.6946332
2017-04-26T14:00:00,52.82,54.85,53.61,53.42,66328.8574872
2017-04-26T20:00:00,52.66,54.38,53.4,54.32,29767.3150899
2017-04-27T02:00:00,54.26,59.7,54.28,59.32,64743.090788
2017-04-27T08:00:00,58.42,62.6,59.23,60.19,112705.186506
2017-04-27T14:00:00,59.72,63.99,60.2,63.67,99899.2553137
2017-04-27T20:00:00,63.23,69.5,63.65,67.81,148737.935001
2017-04-28T02:00:00,62.5,69.24,67.63,64.99,76276.0685372
2017-04-28T08:00:00,64.5,68.4,64.68,67.49,79145.2846018
2017-04-28T14:00:00,66.58,74.9,67.49,73.14,138755.771941
2017-04-28T20:00:00,70.61,74.89,73.17,71.14,96682.0453734
2017-04-29T02:00:00,68.24,71.66,71.12,69.64,43687.4378922
2017-04-29T08:00:00,69,72.96,69.79,72.67,52543.8249097
2017-04-29T14:00:00,70.16,72.75,72.59,70.4,50415.6772035
2017-04-29T20:00:00,70,71.5,70.37,70.42,36913.0349568
2017-04-30T02:00:00,70.25,71.39,70.32,71.33,11713.4086905
2017-04-30T08:00:00,71.33,75.83,71.34,74.92,61711.7748074
2017-04-30T14:00:00,74.96,82.9,75.01,80.87,161957.800996
2017-04-30T20:00:00,79.8,85.21,80.72,83.34,132849.484143
2017-05-01T02:00:00,80.9,84.12,83.34,81.69,38460.4853242
2017-05-01T08:00:00,72.24,84.99,81.67,76.67,155776.027463
2017-05-01T14:00:00,74.5,80,77.25,79.35,90793.4648273
